Models with a negative R2 score for sigmoid, XAVIER scheme, on the 1D dataset:
Learning rate: 0.0001, Lambda: 0.1, R2 score: -106.09087117473068
Learning rate: 0.0001, Lambda: 1.0, R2 score: -6790.725013115785
Learning rate: 0.0001, Lambda: 0.0, R2 score: -93.36934908386363
Learning rate: 0.001, Lambda: 1.0, R2 score: -8803.750377586965
Learning rate: 0.01, Lambda: 1.0, R2 score: -2013559017819.216
Learning rate: 0.1, Lambda: 1.0, R2 score: -3944902669.470656
Learning rate: 1.0, Lambda: 1e-05, R2 score: -0.7865922012322211
Learning rate: 1.0, Lambda: 0.0001, R2 score: -0.8335143178331055
Learning rate: 1.0, Lambda: 0.01, R2 score: -4978699210796463.0
Learning rate: 1.0, Lambda: 0.0, R2 score: -0.781346369397985
